timestamp;ui32ArduinoTimestamp;f32Value
40825;541116048;-0.0000
55847;541142644;-0.0000
70864;541168242;-0.0000
85852;541193560;-0.0000
95820;541218056;-0.0000
110842;541243072;-0.0000
125882;541268102;-0.0000
140868;541293158;-0.0000
155833;541318236;-0.0000
170865;541343332;-0.0000
185880;541368418;-0.0000
200894;541393236;-0.0000
215832;541418564;-0.0000
230842;541443656;-0.0000
245847;541468740;-0.0000
260896;541493828;-0.0000
275847;541518410;-0.0000
285864;541543464;-0.0000
300857;541568488;-0.0000
315849;541593530;-0.0000
330872;541618588;-0.0000
345817;541643638;-0.0000
360864;541669206;-0.0000
375866;541694276;-0.0000
390900;541719354;-0.0000
405883;541744420;-0.0000
420887;541769458;-0.0000
435863;541794488;-0.0000
450879;541819026;-0.0000
465858;541844334;-0.0000
480884;541869648;-0.0000
495855;541894706;-0.0000
510850;541919766;-0.0000
525881;541944596;-0.0000
540865;541972210;-0.0000
550851;541999510;-0.0000
565847;542024530;-0.0000
580877;542049572;-0.0000
595925;542074076;-0.0000
610837;542099116;-0.0000
625875;542124182;-0.0000
640840;542149264;-0.0000
655890;542174338;-0.0000
670879;542198906;-0.0000
685862;542223976;-0.0000
700853;542249282;-0.0000
715858;542274590;-0.0000
730877;542299646;-0.0000
745879;542324976;-0.0000
760850;542352618;-0.0000
780861;542379450;-0.0000
805882;542404478;-0.0000
830880;542429524;-0.0000
855845;542454560;-0.0000
880896;542481362;-0.0000
905852;542507924;-0.0000
930896;542533260;-0.0000
960858;542558340;-0.0000
985884;542583158;-0.0000
1010851;542608730;-0.0000
1035872;542634304;-0.0000
1060896;542659646;-0.0000
1085881;542684496;-0.0000
1110851;542709352;-0.0000
1135829;542734440;-0.0000
1160873;542759236;-0.0000
1190874;542784522;-0.0000
1215855;542809816;-0.0000
1245863;542836868;-0.0000
1265863;542864162;-0.0000
1290886;542889232;-0.0000
1315851;542914324;-0.0000
1340854;542939386;-0.0000
1365874;542964446;-0.0000
1385861;542989514;-0.0000
1415882;543014038;-0.0000
1440859;543039090;-0.0000
1465865;543064166;-0.0000
1490858;543089268;-0.0000
1515939;543114368;-0.0000
1545858;543138928;-0.0000
1565850;543164224;-0.0000
1590867;543189524;-0.0000
1615854;543214590;-0.0000
1635860;543239702;-0.0000
1665932;543264580;-0.0000
1690839;543289960;-0.0000
1715885;543315072;-0.0000
1740858;543340176;-0.0000
1765886;543365288;-0.0000
1795833;543391632;-0.0000
1820871;543418460;-0.0000
1845859;543443536;-0.0000
1875858;543468610;-0.0000
1900855;543494498;-0.0000
1930850;543521884;-0.0000
1955847;543549482;-0.0000
1980914;543575562;-0.0000
2010988;543602364;-0.0000
2030830;543628646;-0.0000
2050833;543653478;-0.0000
2080857;543679100;-0.0000
2100863;543704450;-0.0000
2130880;543729524;-0.0000
2155835;543754586;-0.0000
2180870;543779156;-0.0000
2205870;543804262;-0.0000
2230864;543829384;-0.0000
2255908;543854482;-0.0000
2280907;543879554;-0.0000
2305883;543904604;-0.0000
2330912;543930154;-0.0000
2360907;543955192;-0.0000
2385922;543980264;-0.0000
2410869;544005354;-0.0000
2440891;544031916;-0.0000
2460885;544059216;-0.0000
2485861;544084502;-0.0000
2510849;544109580;-0.0000
2535920;544134706;-0.0000
2560850;544159822;-0.0000
2580846;544184658;-0.0000
2610812;544209222;-0.0000
2635917;544234528;-0.0000
2660833;544259604;-0.0000
2690870;544284700;-0.0000
2715825;544310072;-0.0000
2740904;544335422;-0.0000
2770842;544362486;-0.0000
2795860;544389528;-0.0000
2820818;544416852;-0.0000
2845920;544444148;-0.0000
2870868;544469204;-0.0000
2895861;544494272;-0.0000
2920838;544519340;-0.0000
2945959;544544400;-0.0000
2970860;544569978;-0.0000
2995857;544595060;-0.0000
3020878;544620146;-0.0000
3045895;544645242;-0.0000
3075811;544670346;-0.0000
3100852;544695430;-0.0000
3125852;544720482;-0.0000
3155872;544747542;-0.0000
3180847;544774598;-0.0000
3210842;544801956;-0.0000
